Date,Close/Last,Volume,Open,High,Low,Brand
8/15/22,$1.77 ,52427,$1.84 ,$1.85 ,$1.73 ,FORD
8/12/22,$1.79 ,111508,$1.76 ,$1.85 ,$1.71 ,FORD
8/11/22,$1.76 ,23658,$1.73 ,$1.77 ,$1.70 ,FORD
8/10/22,$1.77 ,19282,$1.79 ,$1.79 ,$1.73 ,FORD
8/9/22,$1.71 ,30737,$1.78 ,$1.79 ,$1.69 ,FORD
8/8/22,$1.78 ,99601,$1.72 ,$1.79 ,$1.70 ,FORD
8/5/22,$1.70 ,16805,$1.65 ,$1.72 ,$1.65 ,FORD
8/4/22,$1.69 ,54746,$1.78 ,$1.78 ,$1.62 ,FORD
8/3/22,$1.75 ,73053,$1.70 ,$1.80 ,$1.64 ,FORD
8/2/22,$1.64 ,32688,$1.61 ,$1.70 ,$1.61 ,FORD
8/1/22,$1.65 ,43553,$1.72 ,$1.72 ,$1.57 ,FORD
7/29/22,$1.71 ,25807,$1.75 ,$1.75 ,$1.67 ,FORD
7/28/22,$1.71 ,68576,$1.65 ,$1.79 ,$1.65 ,FORD
7/27/22,$1.73 ,50953,$1.60 ,$1.79 ,$1.60 ,FORD
7/26/22,$1.76 ,184580,$1.69 ,$1.87 ,$1.68 ,FORD
7/25/22,$1.68 ,34980,$1.70 ,$1.76 ,$1.68 ,FORD
7/22/22,$1.73 ,8080,$1.74 ,$1.74 ,$1.64 ,FORD
7/21/22,$1.73 ,13340,$1.72 ,$1.73 ,$1.69 ,FORD
7/20/22,$1.74 ,15447,$1.72 ,$1.76 ,$1.71 ,FORD
7/19/22,$1.70 ,18951,$1.69 ,$1.70 ,$1.65 ,FORD
7/18/22,$1.63 ,13683,$1.65 ,$1.66 ,$1.59 ,FORD
7/15/22,$1.62 ,10088,$1.58 ,$1.65 ,$1.57 ,FORD
7/14/22,$1.60 ,17078,$1.58 ,$1.65 ,$1.58 ,FORD
7/13/22,$1.59 ,13805,$1.54 ,$1.60 ,$1.54 ,FORD
7/12/22,$1.55 ,15911,$1.54 ,$1.60 ,$1.54 ,FORD
7/11/22,$1.58 ,8826,$1.56 ,$1.58 ,$1.52 ,FORD
7/8/22,$1.55 ,15782,$1.53 ,$1.61 ,$1.53 ,FORD
7/7/22,$1.60 ,14244,$1.59 ,$1.61 ,$1.53 ,FORD
7/6/22,$1.61 ,9948,$1.58 ,$1.62 ,$1.55 ,FORD
7/5/22,$1.59 ,35505,$1.59 ,$1.60 ,$1.55 ,FORD
7/1/22,$1.54 ,15716,$1.46 ,$1.60 ,$1.43 ,FORD
6/30/22,$1.47 ,8719,$1.50 ,$1.52 ,$1.45 ,FORD
6/29/22,$1.49 ,15743,$1.48 ,$1.55 ,$1.48 ,FORD
6/28/22,$1.52 ,16277,$1.45 ,$1.55 ,$1.44 ,FORD
6/27/22,$1.51 ,20224,$1.50 ,$1.52 ,$1.46 ,FORD
6/24/22,$1.50 ,16602,$1.46 ,$1.51 ,$1.43 ,FORD
6/23/22,$1.49 ,9642,$1.52 ,$1.52 ,$1.47 ,FORD
